,COMPONENT NAME,PART NUMBER,QUANTITY,DESCRIPTION
84,325-BCHV : PowerEdge 2U LCD Bezel,M39NW,1,"ASSEMBLY,BEZEL,LIQUIDCRYSTALDISPLAY,2U,DELLEMC,14G"
85,"330-BBHD : Riser Config 6, 5 x8, 3 x16 sl ots",GHGTP,1,"ASSEMBLY,CARD(CIRCUIT),RSR1D,1X16,2X8,R740"
86,"330-BBHD : Riser Config 6, 5 x8, 3 x16 sl ots",J7W3K,1,"ASSEMBLY,MECHANICAL,RSR2A,PERIPHERALCOMPONENTINTERCONNECTEXPRESS,R740/XD"
87,"330-BBHD : Riser Config 6, 5 x8, 3 x16 sl ots",G5199,1,"INFORMATION,RCONFIG6"
88,"330-BBHD : Riser Config 6, 5 x8, 3 x16 sl ots",DTTHJ,1,"ASSEMBLY,MECHANICAL,RSR3A,PERIPHERALCOMPONENTINTERCONNECTEXPRESS,R740/XD"
89,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",4JW8N,1,"ASSEMBLY,CABLE,ADAPTER,2.5X24,RSR3,R740"
90,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",95K27,1,"ASSEMBLY,CABLE,ADAPTER,2.5X24,RSR2,R740"
91,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",W6N4M,1,"ASSEMBLY,CABLE,ADAPTER,2.5X24,RSR1,R740"
92,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",4R45W,1,"ASSEMBLY,SHROUD,PLASTIC,R740/XD"
93,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",HNWWT,1,"ASSEMBLY,CABLE,BP2.5X24,APERC,R740"
94,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",1YGFW,1,"PRINTEDWIRINGASSY,CONTROLLER,PERIPHERALCOMPONENTINTERCONNECTEXPRESS,EXTENDER,ADAPTER,14G"
95,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",RJ8J9,12,"ASSEMBLY,FILLER,BLANK,HARDDRIVE,2.5,14G"
96,"321-BCRC : Chassis up to 24 x 2.5 Hard Dr ives including 12 NVME Drives,  2CPU Configuration",K6YWC,1,"ASSEMBLY,CHASSIS,2.5X24,2U,R740XD"
97,"379-BCSG : iDRAC,Legacy Password",70TF3,1,"ARTWORK,LABEL,14G,LEGACY,SCAN"
98,"379-BCSG : iDRAC,Legacy Password",1J79T,1,"LABEL,PRINTONDEMAND,14G,SCAN,QRL"
99,"379-BCSG : iDRAC,Legacy Password",1J79T,1,"LABEL,PRINTONDEMAND,14G,SCAN,QRL"
100,"379-BCSG : iDRAC,Legacy Password",FTY7H,1,"ARTWORK,LABEL,14G,OMM,QRL"
101,"379-BCSG : iDRAC,Legacy Password",H9C0V,1,"INFORMATION,PASSWORD,LEGACY"
102,"379-BCQY : iDRAC Group Manager, Disabled",K77MJ,1,"INFORMATION,GRAPE,MNGR,OFF"
